Map ID,MapArea,MapMaker,MapYear,MapHeight,MapWidth,MapTitle,description,MapPrice,MapInfoMemo,Location (Physical),tag
5081,Maine,USCS,1854*,10,9,Eggemoggin Reach,Completed map of area.,45,,1,
3259,MARYLAND,USCS,1862*,23,30,"Potomac River, Piney Point To Lower Cedar Point Sheet No.2",Highly detailed chart of the river.Completed chart.baf mild,345,,1,SELL
3260,MARYLAND,USCS,1862*,23,29.25,"Potomac River, From Lower Cedar Point To Indian Head Sheet No3",Highly detailed chart of the river. Completed chart.baf mild,345,,1,SELL
1052,Mass.,USCS,1854*,8,11,Tidal Currents of Nantucket Shoals,REPAIRED,25,,1,
3113,Mass.,USCS,1854*,28,20.75,"Muskeget Channel,A No.13",Completed chart with coast views and Telescopic view of Cape Pogie also see 3116,315,,1,
3116,Mass.,USCS,1855*,28,20.75,"Muskeget Channel,A No.5",Completed chart with coast views and Telescopic view of Cape Pogie also see 3113,335,,1,
3258,MASS.,USCS,1851,15,17.5,Davis's South Shoal And Other Dangers Recently Discoveree by the Coast Survey,"Dangers discovered near Nantucket Island.Completed chart with soundings shoals,TWO COPIES 125 ea.",250,,1,SELL
3262,MASS.,USCS,1873*,30.75,47,"Narragansett Bay,USCS","Very large map,highly detailed and completed..in  two parts.",625,,1,SELL
3309,MASS.,USCS,1854*,24,18,"Monomoy Harbor,Mass.",Large map of the area with Sailing Directions.b.a.f.,245,,1,SELL
3310,MASS.,USCS,1873,9,10,"Monomoy Harbor, Comparative Map From Coast Survey 1853 And 1868",Maps of the changes in the sandbars etc. of Chatham.b.a.f.,35,,1,
3311,MASS.,USCS,1854*,17,19,Nantucket Shoals,"Fine chart of the waters off Nantucket.Detailed soundings,USCS logo.Some browning at folds without loss.Dtd in plate.Very good condn.",365,,1,SELL
3313,MASS.,USCS,1854,28,20,Muskegat Channel,"Martha's Vineyard and surrounding area is charted.A view of the light house and two landfall views add interest.TWO copies,3313.1, and 3313.2",600,$400 in past list.for one,1,SELL
3315,MASS.,USCS,1854*,18,14,Gloucester Harbor,Careful details of Gloucester and its harbor.Dangers described.baf.,300,,1,SELL
3316,MASS.,USCS,1854,18,14,Gloucester Harbor,Details of the town and harbor. Sailing instructions and dangers described.,125,,1,
3319,MASS.,USCS,1854*,14,16,Bass River Harbor,Mapping of the Nantucket Sound.baf,135,,1,SELL
3320,MASS.,USCS,1864*,18,14,Sippican Harbor,Fine chart of the area.b.a.f.,85,,1,SELL
3321,MASS.,USCS,1854*,19.5,20.25,"Plymouth Harbor, Mass",Detailed mapping of the harbor.Compleated chart.age toned,245,,1,SELL
3323,MASS.,USCS,1854*,14,16,"Bass River Harbor, Mass.",Detailed mapping of Nantucket Sound and the coast.b.a.f.,125,$140 Maps Atiqty'13,1,
3518,Mass.,USCS,1851,17,20,Davis's South Shoal And Other Dangers,Nantucket and Shoals nearby Extensive soundings and shoals located. Excellent condn,135,,1,
3598,MASS.,USCS,1855*,19,29,Ipswitch And Annisquam Harbors,Details of these two harbors are depicted. Some baf,275,,1,SELL
3683,Mass.,USCS,1872*,30,39,"Cape Cod Bay,Coastal Chart No. 10","Very large, detailed chart of this area.completed chart.Insets of 3 coastal views.",435,,1,SELL
3981,Mass.,USCS,1848,11,9,New South Shoal & Other Dangers Discovered by the Coast Survey,Nantucket and nearby shoals.COLORED,65,,1,BKLYN
4593,Mass.,USCS,1855*,9,8.25,"Stellwagen's Bank, Mass.Bay","Outline color. Note,Egg Rock.Soundings in Mass.Bay.Light Houses located.",45,,1,
4767,MASS.,USCS,1854*,17,19,Nantucket Shoals,"Fine chart of the waters off Nantucket.Extensive soundings and shoals shown.Completed chart,USCS emblem.Dtd in plate. Baf",385,$550 Rudmn'13.,1,SELL
3263,Md,USCS,1862*,29.5,37.5,"USCS,Chesapeake Bay , from Choptank River to Potomac River Coastal Chart No.33",Large detailed map of the bay.see duplicate 3604 Completed chart. Sl.baf,450,,1,SELL
3273,MD.,USCS,1859*,24,34,"Chesapeake Bay, Sheet No.5, From The Entrance  To Pocomake Sound To The Mouth Of York River","Large detailed chart of the area.Completed chart.some baf,mild.",350,,1,SELL
705,Me.,USCS,1854*,12.5,16,York River and Cape Neddick Harbors,"Completed chart of  Old York Village and surrounding coast. Baf and repaired areas, yet quite interesting. In mat.",25,,1,
485,Miss.,USCS,1855*,13.75,16.75,Biloxi Bay,completd chart of the bay.Details of Biloxi city seen.,110,,1,SELL
1086,Miss.,USCS,1857*,15.5,17.25,Miss. City Harbor  (Biloxi),Completed chart. Folds as issued.Some browning at folds,95,,1,SELL
1087,Miss.,USCS,1857*,23,18.5,"St.Louis Bay and Shieldsdboro Harbor,Miss.",Completed chart. Detailed and attractive  large chart.,385,,1,SELL
1096,Miss.,USCS,1857*,10 5/8,16,"Grand Island Pass, Miss.",Completed chart.,85,,1,
427,Miss. Ala.,USCS,1851*,21.75,14.5,Progress of the Survey,Triagulations.New Orleans to Mobile with triangulations. B.a.f. easily restored. Early mapping of the area.,65,,1,SELL
926,Mississippi,USCS,1860*,31,40,"Mississippi Sound, Western Part,from Round I. To St.Joseph's I.",Large completed chart full of details and topography.Attractive some b.a.f.,525,,1,SELL
1603,Mississippi,USCS,1851*,7,6.5,Grand Bay Including the Entrance of Horn Island Pass,chart of the Grand Bay and nearby Sound.,38,,1,
1605,Mississippi,USCS,1851*,9,11,Harbor of Pass Christian,Soundings and shoreline details.Early USCS chart.,55,"details of Pass Christian,piers etc.",1,SELL
3270,N.E.Coast,USCS,1864*,24,28,"Atlantic Coast Of The United States, Cape Sable To Sandy Hook,Sheet No.l",Large detailed map of the East Coast.Completed.some b.a.f.,160,,1,SELL
3271,N.H.,USCS,1854*,19,27,"Portsmouth Harbor, N.H.",Highly detailed engraved map of the area.Completed chart.Some browning at folds.,200,,1,SELL
1508,N.J.,USCS,1851*,23,19,"Sketch B  No.3, Sect.ll","Del. Bay, N.J. etc.",85,,1,SELL
3587,NEW ENGLAND,USCS,1859*,36,22,"Sketch A,Section No.1",Large map showing early mapping of the coast from Rhode Island to Maine.Early triangulations.Cape Cod well shown and the survey extends up towards Maine.b.a.f. see 3302 and others,125,,1,SELL
3588,NEW ENGLAND,USCS,1858*,36,22,"Sketch A,Section No.1",Large map showing early mapping of the coast from Rhode Island to Maine.Early triangulations.Cape Cod well shown and the survey extends up towards Maine.baf,125,,1,SELL
3302,NEW ENGLAND CO,USCS,1852*,36,22,"Sketch A,Section No.1",Large map showing early mapping of the coast from Rhode Island to Maine.Early triangulations.Cape Cod well shown.browned evenly. Early map of this series.,110,,1,SELL
3589,NEW ENGLAND CO,USCS,1861*,18,28,"Sketch A,Section No.1",Mapping of the coast of Maine.Early place names and triangulations are seen.,95,,1,SELL
3590,NEW ENGLAND CO,USCS,1862*,18,28,"Sketch A,Section No.1",Mapping of the coast of Maine.Early place names and triangulations are seen.,95,,1,SELL
3591,NEW ENGLAND CO,USCS,1865*,18,28,"Sketch A,Section No.1",Mapping of the coast of Maine.Early place names and triangulations are seen.,95,,1,SELL
3592,NEW ENGLAND CO,USCS,1873*,18,28,"Sketch A,Section No.1",Mapping of the coast of Maine.Early place names and triangulations are seen.,95,,1,SELL
3593,NEW ENGLAND CO,USCS,1877*,18,28,"Sketch A,Section No.1",Mapping of the coast of Maine.Early place names and triangulations are seen.,95,,1,SELL
1674,New England Coast,USCS,1851*,23,22,"Sketch A,Section No.1",Large map showing early mapping of the coast from Rhode Island to Maine.Early triangulations.Cape Cod well shown.Many interesting place names.,160,,1,SELL
3612,New England Coast,USCS,1850,36,22,"Sketch A,Section No.1","Large map showing early mapping of the coast from Rhode Island to Maine.Early triangulations.Cape Cod well shown.Many interesting place names.ALSO 1852,1858,1859",160,earliest,1,SELL
3681,NEW YORK,USCS,1857*,24,35,Eastern Part The Southern Coast Of Long Island,Large detailed map of Montauk tip and Block Island.Scene of Montauk light house and 4 coastal views.Rgt border repaired.Sailing instructions shown.,575,M.Hudson $700 '13 Our copy has added rgt border.,1,SELL
4514,South Carolina,USCS,1857,6,22,Bull's I. to St.Helena Sound,USCS chart of the So.C. coast.  Early place names.Pre Civil War coast mapping.,95,,1,
557,South coast,USCS,1855*,14.5,27.75,"Lines of Deep Sea Soundings and Profiles of Bottom, Gulf of Mex.","Chart of the Gulf1855. From Rio Grand  to Cape Sable, Florida with tables of Soundings",85,,1,SELL
84,Texas,USCS,1855*,20,16.75,Galveston Bay,One of the earliest chart of G.bay.Tiny city Galveston seen at E. tip Galveston Is.  Se Guthorn p.181,255,"insets Red Fish Bar, Cloppers Bar. Also see 4680",1,SELL
166,Texas,USCS,1855*,7.5,21,Progress of Survey,"Coastal place names etc.From Cavillo Pass,Lavaca Bay to Sabine Pass,Texas  Inset, Mouth of Rio Grande",95,,1,
1394,Texas,USCS,1857*,20,36,"Sea Coast of the U.S. fromGalveston Bay to Matagorda Bay, Texas","Large completed map of Galveston Bay and Matagorda.Folded,",335,,1,SELL
1604,Texas,USCS,1851*,7.75,8,Aransas Pass,early USCS charting of Texas coast. For placing of a Llight House. Mustang Is. To Isl. San Joseph,28,,1,
1606,Texas,USCS,1851,7 3/8,12 3/8,(Oyster Bay to East Bay) Progress of Survey,"Shoreline place names.Brasos River to Galveston Bay,East Bay. Only tiny Galvest Beach seen",44,,1,
4680,Texas,USCS,1851*,19.5,16 3/4,"Galveston Bay, USCS",One of the earliest chart of G.bay.Tiny city Galveston seen at E. tip Galveston Is.  Se Guthorn p.181,255,"insets Red Fish Bar, Cloppers Bar. Also see 84",1,SELL
4764,Texas,USCS,1854*,8,21,(Texas Coast)  Sketch l,From Matagorda Bay to Sabine Lake. Triangulations and early place names.,25,,1,SELL
5068,Texas,USCS,1854*,13.5,14.5,"Entrance to the Rio Grande,Texas",Completed map of the entrance.,210,"$275 on thick paper Rudermn""13",1,
2244,prints,varied,1860,9,6,"U.S.Battles, U.S.History","two engraving re U.S.History,cleaned.",30,15 ea.,1,SELL
5740,Civil War,various,18--,,,"cartoon from Harpers,also misc prints","cartoon re Slavery in the South. Misc.Other Civil war prints, misc",,,1,SELL
4921,Civil War,,1865c,,,Civil War Naval scenes.,A group of 7 naval battle scenes of the Civil War. Engravings.,100,,2,
2833,Florida,Appleton &Co.,1894,,,Fla. Scenes,about 7 scenes for coloring,50,,2,
4201,Alabama,Black,1870,14.5,10.5,Alabama,"Color printed map of the state,1870c.",95,,2,SELL
5354,"No.C.,So.C.",Black,1870,10,15,North & South Carolina,Subtle color with sharp detail,165,,2,SELL
4200,South,Black,1870,17,22,U.S.Southern Section,"Color printed map of the South,1870c.So.Fla. Is  mostly military settlements.",125,,2,SELL
1778,Alabama,Bradford,1838*,14.5,11 3/8,Alabama,Beautiful old color. Scarce map.Railroads just starting up.,285,,2,SELL
2802,Alabama,Bradford,1838,14,11,Alabama,Pastel hand colors enhance this scarce map of Alabama by Bradford.,325,,2,SELL
5062,"Ark.,La.",Bradford,1835,10,7,Louisiana & Arkansas,From Bradford's American Atlas.,165,,2,keep for Kids
2835,Arkansas,Bradford,1838*,11,14,Arkansas,Fine early map of Arkansas from Bradford's Atlas.Lovely color,295,,2,
2822,Kentucky,Bradford,1838,11,14,Kentucky,Fine map of Kentucky from Bradford's Atlas.Hand colored.,325,,2,SELL
2836,Louisiana,Bradford,1838*,11,14,Louisiana,Fine early map of Louisiana from Bradford's Atlas.Lovely color.Some of the very earliest rail roads of the south.,375,Ruderman08-375,2,
5621,LouisianaD,Bradford,1838*,5,7,New Orleans,Hand colored finely engraved City map. From Bradford's Atlas.Scarce.,45,,2,
2813,Miss.,Bradford,1838,14,11,Miss.,Fine map of Mississippi from Bradford's elegant atlas.,345,,2,
1777,Miss. And AlabD,Bradford,1835,8,10,Miss. And Alabama,From a Bradford atlas of 1835.,135,,2,SELL
5066,"Miss.,Ala.",Bradford,1835,8,10,Mississippi & Alabama,From Bradford's American Atlas.,125,,2,SELL
2805,North Carolina,Bradford,1838*,11,14.25,North Carolina,Fine early map of No.C. Hand colored.,355,,2,SELL
5356,"North Carolina,So.Carolina, Ga.",Bradford,1835,7.75,10.25,"North Carolina,South Carolina and Georgia",Hand color of the three states. From Comprehensive Atlas,165,,2,SELL
3350,Alabama,"Bradford, T.G.",1838*,14,11 3/8,Alabama,Four colored engraved map of the state.,325,,2,SELL
3348,Arkansas,"Bradford, T.G.",1838*,11.5,14 1/8,Arkansas,Four colored engraved map of the state.,325,,2,SELL
3344,South Carolina,"Bradford, T.G.",1838*,11.5,14 1/8,South Carolina,"Four colored engraved map of the state.from Atlas,Geog.,Statistic.,,Hist. of U.S..Bradford,s best atlas.",235,Upper margin repaired. Old oil stain at bottom. So…,2,SELL
1761,Louisiana and Ark.,"Bradford, Thomas G.",1838,10,8,Louisiana and Arkansas,Old place names.,185,,2,
1614,La.,Civil War hist,1863,4.5,4.5,Mouths of the Missippi,8 Passes of the Miss. R.,15,,2,
3559,"Kentucky,Tennessee",Colton,1863,8,10,Map of the State of Kentucky and Tennessee,Civil War map of these states.,45,.,2,SELL
5122,Virginia,Colton,1863,10,7,Middle Virginia,"from A Complete History of the Great Rebellion.. By Storke, Auburn,N.Y. Maps by George Woolworth Colton. Some color.",45,r.r. in Civil War,2,SELL
632,Louisiana,"Colton,G.W.",1855*,13,16,Louisiana,Decorative Colton border. Hand colored.Vermillionville seen.,185,,2,
1779,Louisiana,"Colton,G.W.",1855*,13,16,Louisiana,Decorative Colton border. Hand colored.Vermillionville seen.Brilliant color.,295,,2,
5628,Missouri,"Colton,G.W.",1863,8,10,Map of the State of Missouri,from The Amer.Rebellion by Storke. Uncolored .,45,,2,SELL
1098,Georgia,Cram,1892,10,10,Atlanta( verso New Orleans),Color printed map of early Atlanta shown within a circular City Line. Steam R.R. and Horse Roads are shown.,65,,2,
2906,Georgia,Gleason's,,14,10,"Franklin College in Athens ,Ga.",View of college with a short article UGA,45,,2,SELL
1763,Alabama,Gray,1878,26,16,Gray's New Map of Alabama,"Large map of the state ,hand colored.",110,,2,
654,La.,Gray,1876,16,26,Gray's New Map of Louisiana,"Color printed map with large inset of New Orleans, Miss. Passes",115,,2,
5706,"Louisiana, Miss.DD",Gray,1873,12,15,"Gray's Atlas Map of Louisiana, v. Miss.","Hand colored map of La. Verso, Map of Miss.",110,,2,
641,Mississippi,Gray,1878*,26,16,Gray's New Map of Mississippi,A large steel engraving and lith. map of the state. Lots of details.,95,,2,
1770,MississippiD,Gray,1878*,26,16,Gray's New Map of Mississippi,Large map of the state.Hand colored with many early place names.,265,,2,
50,"Texas,Arkansas",Gray,1870,12,15,"Gray's Atlas map of Texas,v.,Arkansas","A large map of Texas.Many interesting details.Early rail roads.Insets of Sabine Lake and Galveston Bay.Colored as issued.verso,Arkansas",225,,2,
1308,Louisiana,Hardisty,1883,13,20,Map of Louisiana,Litho map with banknote style engraved border.Printed color.Early place names.Railroads shown.,125,,2,
984,Miss.,Hardisty,1883,20,13,Mississippi,Large multicolored map.Shows RR.,95,,2,
1465,Civil War,Harpers,1866,20,14,"President Lincoln Entering Richmond, Aptril 4, 1865",Double pg. Woodcut.,35,,2,
1687,Civil War,Harpers,1859,,,"Harpers, issues and articles","About Sunday Laws, Aticles and engravings re the Invasion at Harpers Ferry, John Brown,etc.  Three issues of the 1859 Harpers. Ea.75",225,,2,
2449,Civil War,Harpers,1852,,,"Uniforms of the U.S.Navy, 1852",Double pg. With 5 engravings of uniformed naval officers.,85,,2,
2496,Civil War,Harpers,1867,14,20.5,Antietem views,Double pg.with 9 engraved views of Antietem,85,,2,
4245,Civil War,Harpers,1862,15,10,Course of the Mississippi from Cairo to the Gulf,Long course of the Miss. River and the Civil War,95,"Cleaned,colored",2,Keep for kids
5468,Civil War,Harpers,1862*,10,14,The Battle of Antietam-The First Maryland Battery in the Fore-ground,"Battle scene, hand colored.",55,,2,
5469,Civil War,Harpers,1862*,14,20,The Battle of Antietam-Burnside Holding the Hill,Four battle scenes in hand color.,85,,2,
4799,La.,Harpers,1867,14,20,New Orleans scenes double pages,Seven scenes about New Orleans,110,,2,Keep for Kids
4910,LouisianaD,Harpers,1866,14,10,"Washing-day Among the Acadians on the Bayou LaFourche,Louisiana","Bayou scene, wood engraving.Acadians",45,,2,SELL
4100,"Miss.,La.",Harpers,1870~,15,10,4761,"37 illustrated pages re New Orleans, Miss. Etc.ach 35-65  can be colored.",1200,,2,
2477,Va.,Harpers,1862*,10,14,City of Petersburg,view of the city,65,,2,SELL
964,Florida,Harpers Weekly,1861*,10,14,"Fort Pickens,Pensacola Harbor, Florida",Wood engraving view of the fort.A soldier seen on guard duty on the upper rampart.,65,,2,
1244,Miss.D,Harpers Weekly,1859*,10,14,The Flood in the Mississippi,Wood engraving scene of a flood.,45,,2,
2903,Georgia,"Harpers Weekly,Gleasons",1865c,14,10,"Pages from Harpers, Gleason's,seven","R.R.Depot,Atlanta,Moss Industry,Frankin College,Savannah,Tallulah Falls,Toccoa Falls,Rice Culture nr Savannah,$25 ea x6",150,,2,SELL
5155,La.,Hunt & Eaton,1892,11,9,New Orleans,Color printed map of the city.,35,,2,
2754,"Georgia,Alabama",Johnson,1863*,15,22,Johnson's Georgia ans Alabama,"Fragile, with repaired cracks at sides",20,,2,SELL
2469,"Ky, Tenn.",Johnson,1865*,17,23.5,Johnson's Kentucky and Tennessee,Colored counties. Also see2884,110,,2,
2884,"Ky, Tenn.",Johnson,1865*,17,23.5,Johnson's Kentucky and Tennessee,"Colored counties. Also see2469,matted.",125,,2,
2587,"No.Carolina,So.Carolina",Johnson,1865*,16.5,23,"North Carolina,South Carolina",paper is somewhat brittle.,95,,2,
638,"Arkansas, Miss,La.D",Johnson and Ward,1863,23,17,"Johnson's Arkansas, Mississippi, and Louisiana",Handcolored map of three Southern states by Johnson,95,,2,SELL
1111,Georgia and Al,Johnson and Ward,1863*,16,22,Johnson's Georgia and Alabama,Hand colored map of these two states duringthe Civil War.Characteristic Johnson border.Interesting details.,110,,2,
1781,Kentucky and Tenn.,Johnson and Ward,1863,17,23,Johnson's Kentucky and Tennessee,Hand colored map of these two states with three inset views.Early scroll borders.,125,,2,
1367,"Missouri,Kansas",Johnson and Ward,1865*,17,23,Johnson's Missouri & Kansas,Mo. Shown with part of Kansas,85,,2,
1173,Virginia,Johnson and Ward,1862,18,27,Johnson's Map of the Vicinity of Richmond and Peninsular Campaign in Virginia,"Large hand colored Civil War map of the area around Richmond. Note Union advance and retreat shown as directional arrows. Brittle,hole",25,,2,
1232,"Ark.,Mo.,,La.",Johnson and Ward.,1865,24,17.5,Johnson's Arkansas Mississippi and Louisiana,D.P. map of these states,95,,2,
1780,"Arkansas, Miss","Johnson, A.",1866*,23,17,"Arkansas, Mississippi, and Louisiana",Handcolored map of three Southern states by Johnson.,185,,2,SELL
3186,Florida,"Johnson, A.",1863*,12,15,Johnson's Florida,Hand colored map of Florida. Inset of Florida Keys.,225,,2,
1856,Missouri and K,"Johnson, A.",1865*,17,23,Johnson's Missouri and Kansas,Handsome hand colored map of Missouri and part of Kansas.,35,"brittle,browned",2,
1112,Georgia and Al,"Johnson, A.J.  N.Y.",1863*,16,22,Johnson's Georgia and Alabama,Hand colored map of these two states during the Civil War.Characteristic Johnson border.Interesting details.,115,,2,
1113,Georgia and Al,"Johnson, and Ward.",1863*,16,22,Johnson's Georgia and Alabama,Hand colored map of these two states during the Civil War.Characteristic Johnson border.Interesting details.,125,,2,
631,Miss.,keystone,19,,,Picking Cotton on a Miss. Plantation,Stereo view,30,,2,
498,SouthernStates,"Melish, John",1816*,16,21,Southern Section of the United States Including The Floridas &c.,Some place names are in Swedish.A rare and important map.One of the earliest to show the new state of La.Based on military surveys.1812 war. Early Florida.Engraved by Tanner.,3000,"1999 Ruderman-$4000 OUR copy has Swedish notations . Issued for Scand. Immigrants ?/ 1813 issu$1600-2000 old World 9/15 in poor condn.,. Ours fine condn.",2,KEEP
4088,"Georgia,Alabama",Mitchell,1884,14,22,County Map of the States of Georgia and Alabama,double pg map with inset maps of Savannah and Atlanta. Edge tears.*,95,,2,
5787,Florida,Mitchell via (Meyer's Handatlas),1845*,14.75,11.75,Florida nach den besten Quellen bearbitet,German issue of Mitchell map for imigrants. Outline color.,185,Purchased in New Orleans in 2013.,2,
1280,louisianaD,"Mitchell, A.",1880*,9,11,Plan of New Orleans,Ivy border plan with hand color.,110,,2,
1774,Kentucky,"Mitchell, S. Augustus",1846,15,12,A New Map Of Kentucky With Its Roads And Distances.,Fine engraved map of Ky.Interesting mileage table. Hand colored.First edition,295,,2,BKLYN
1773,MississippiD,"Mitchell, S. Augustus",1846*,15,12,A New Map Of Mississippi With Its Roads And Distances.,Fine engraved map of Miss.Interesting mileage table. Hand colored.First edition.,335,,2,
